x,y,token
11.131211,41.54108,among
-44.55093,12.115484,done
5.294406,-38.089375,last
48.940807,2.8457818,sea
-6.3042126,44.728065,word
-20.26314,58.723083,23
19.536642,-29.087082,still
-35.04306,34.246548,If
-18.408428,50.459785,saith
5.2683935,-38.084114,same
-13.143564,46.678844,Now
36.307503,-28.569595,face
36.68349,-12.910884,its
13.399926,16.596548,days
10.105054,-28.535217,found
19.349785,12.221949,voice
6.156082,45.46726,took
5.5185194,43.148186,brought
-8.131191,5.8484187,world
17.094063,-37.661167,just
6.0318575,21.133587,another
-20.278046,58.663025,24
-22.208206,9.016209,This
14.101134,63.07658,sons
-32.630833,36.735615,As
40.191284,41.832527,three
-25.060013,38.463684,hast
17.088018,41.94103,forth
13.045751,-12.577391,night
48.073288,23.31566,side
-11.130276,31.055428,therefore
21.17072,36.363422,set
-19.932022,-4.141927,There
35.94288,-21.01172,round
18.234756,34.788254,young
1.0242016,52.884808,called
-22.23313,-57.19194,Miss
-5.427142,60.5637,mother
3.2397351,58.632282,David
-15.393183,40.50947,hear
13.345807,-51.499054,cried
37.640812,-40.9822,back
16.953543,-24.443344,seemed
-20.362947,58.932404,25
-0.3568749,14.009424,Of
4.307939,45.048244,pass
41.130444,-2.9952157,under
-22.98411,-7.5124235,right
-14.447214,25.936918,love
-46.53281,-12.527047,tell
13.871834,-10.107291,while
-20.619528,58.65763,26
-6.4302917,44.77359,words
-32.487354,37.711716,When
-26.258495,3.1926801,look
-36.452602,-14.044781,quite
-7.3270283,-46.992924,soon
-23.061197,38.92546,thine
19.312672,48.497166,city
37.180824,43.07718,years
10.340258,-29.172068,left
23.288212,17.900396,hands
-4.565932,19.36517,both
-35.6946,-14.5177355,always
36.220387,-44.290794,looked
-9.119316,40.619766,Jesus
-5.523061,20.840319,neither
-42.68835,4.858017,Oh
3.8477917,-57.796875,herself
-22.628458,39.26759,mine
-20.134169,58.92578,27
11.852122,40.473133,together
-3.23593,50.61842,sent
-12.981039,-11.464908,whole
-22.534483,29.853971,bring
-5.930523,58.843124,woman
-23.60284,-16.51495,seen
-43.19228,2.5394688,No
-38.76366,-13.977602,.--
24.389872,35.82441,thereof
52.19806,-21.01929,whale
-19.512533,11.984427,We
-15.287712,40.54184,speak
46.581696,-34.433544,stood
17.620897,20.148474,till
6.0802274,45.355675,gave
38.0009,-3.8187737,high
-10.664661,20.141598,soul
-43.47914,-5.5387893,sure
-20.170624,58.87651,28
19.692911,-21.080019,far
-43.480835,24.708897,My
8.040841,-42.78305,something
20.111864,37.210056,work
24.658564,27.80228,fire
3.3435037,-22.002071,end
7.7874603,-29.429155,half
-24.90926,-54.793896,Emma
-8.913599,-53.229885,morning
-5.9455023,48.376064,Moses
17.33738,-37.8732,once
-37.785362,-1.0061039,How
-11.367143,20.164423,death
0.1627949,38.85294,given
7.398083,42.070255,behold
32.317513,31.465246,part
26.91274,33.072235,eat
-33.336926,-17.711689,better
-25.255745,38.57828,Thou
19.341244,55.07578,Jerusalem
19.427687,55.338474,Judah
-6.473544,41.66234,according
-32.435646,-8.263476,poor
-11.902996,47.511475,answered
-20.334785,59.257893,29
-7.164933,28.886757,evil
30.77208,25.482235,water
-44.257927,-9.086765,cannot
1.7830087,11.115337,full
-36.34647,-13.775742,enough
8.112873,-42.70921,rather
-5.686311,11.908063,His
-1.5897658,15.680082,thus
-47.769077,-31.39698,told
-35.03389,-20.489103,myself
-37.650703,-9.840127,going
11.78742,40.47558,themselves
-25.013517,43.87938,Let
38.973316,43.304764,hundred
27.326357,38.35951,offering
46.70462,15.252549,light
0.8897431,14.546511,With
31.922586,-42.988262,door
-38.55632,-13.981511,indeed
15.649804,-56.116142,moment
-4.9969115,18.766495,body
9.591707,-47.97979,began
39.082394,43.36698,thousand
-5.357872,60.53257,brother
-44.298367,-14.978427,mind
-0.44967777,17.104267,rest
22.036219,-7.3524785,between
-47.54109,-5.7658243,!--
7.931166,-36.42489,each
-46.18763,-29.869698,knew
4.8082733,15.034968,All
-10.828294,16.741344,sight
-20.312677,58.516926,30
18.538673,17.769924,heaven
5.154003,27.135063,dead
2.6056218,52.380924,whose
-20.129602,58.986546,31
17.251808,-25.152082,almost
25.235086,-32.369904,turned
50.666973,-22.216524,ship
-43.979424,-20.630417,find
31.196268,-42.479137,room
-5.371635,60.465824,wife
-5.163656,35.43419,law
5.45036,28.271128,blood
-28.242313,36.759975,Why
-45.958553,-25.268803,friend
2.65211,64.99556,priest
-37.593292,-9.728489,gone
-45.050125,-2.3513231,don
-9.841735,-26.629631,having
-24.932594,-54.737957,Elinor
-34.598934,-5.337371,get
-16.69658,38.350323,keep
-16.926,-7.830494,home
-45.15455,-1.9349772,ll
-3.231945,-5.6301947,new
-46.46603,-16.923828,hope
55.314194,-12.348501,white
2.1370838,-42.116135,few
-36.44814,-14.090244,really
-20.656382,58.932396,32
-5.9384775,47.0107,spake
-45.841625,1.7066342,dear
39.329857,32.99378,gold
-28.830294,37.102226,Who
-45.262997,-12.195505,believe
5.4690204,43.080273,taken
-12.804432,38.832,Father
-21.98149,13.09687,stand
-8.151445,28.392347,none
16.494701,50.101734,Egypt
-24.888275,-54.744534,Marianne
-25.304358,38.407104,art
-17.078043,44.767906,Behold
-8.328244,20.775877,mouth
-24.438217,28.589548,call
-9.940248,28.912182,fear
-34.269455,-20.344788,known
28.04218,20.126635,sword
21.271404,66.502045,year
36.280277,21.96829,feet
-19.547314,-41.002174,felt
39.421238,42.208958,four
42.4309,-6.9289274,air
-7.035928,56.537746,servant
-20.709686,58.226006,33
17.341011,17.15711,strong
43.168766,-36.790752,Ahab
-26.47547,-26.43697,present
5.2819443,49.1703,near
-9.133508,40.58426,Christ
-5.40868,60.612473,sister
4.8372912,-48.31512,asked
7.96546,-40.177856,sort
-17.779453,46.136635,Thus
23.955856,38.876804,peace
-36.809776,-31.294073,however
8.753534,40.740547,servants
-44.811462,2.1435833,Well
12.087753,18.563343,within
-8.421979,28.648083,power
-30.560316,-13.773187,best
14.698508,41.530994,cast
-40.07161,-2.3735807,does
6.491937,58.03953,fathers
36.26929,-44.336525,looking
6.4391217,58.29,brethren
-40.123314,-2.134566,why
39.23549,42.32253,five
-24.865328,-54.755703,Anne
-21.17729,-53.72122,Captain
18.179987,-16.966818,small
46.576813,-34.45343,sat
-5.270025,60.726467,daughter
-45.76255,-10.309589,mean
-20.658392,59.211666,34
16.194136,-48.80236,Turnbull
-17.524563,-57.468685,Sir
-48.873466,-12.051478,else
29.932453,-30.385548,open
-46.81426,-11.341354,want
-46.66366,22.494646,whether
-31.478596,-17.667622,happy
-18.064697,28.051874,live
39.16581,41.925896,seven
-20.331755,28.200289,turn
24.396814,19.554377,cut
-23.473148,28.335321,return
-10.884977,-51.58731,next
17.056595,-51.186604,",'"
21.274881,42.10455,fell
-5.8525634,58.895836,child
23.249352,38.768116,holy
47.065456,14.91021,sun
46.19393,-7.82093,above
18.316257,56.9548,cities
11.498348,15.9987545,At
16.171806,-48.723385,Syme
2.0942943,51.88075,certain
-26.488361,-26.378464,least
-10.562894,37.566063,glory
-44.72942,2.0732958,Yes
11.314911,30.31987,flesh
22.585627,22.576063,ground
-37.639336,-9.867451,coming
-20.01657,-27.040607,manner
-20.81693,14.668836,hold
-24.836897,-54.841114,Harriet
-12.625605,26.953426,truth
-4.5502777,27.047485,spirit
-41.746025,22.475132,King
17.359842,43.948246,passed
-24.59882,-14.308572,perhaps
-43.989944,0.9531896,sir
-35.743404,23.541103,Not
-12.214899,32.69693,cause
-1.8174343,38.017574,sin
-50.38967,-23.28324,afraid
-44.859825,-15.66581,wish
-45.685585,-20.391493,leave
-31.663523,-7.5106573,got
-36.333954,-9.601847,matter
-25.058002,-14.641206,since
-16.949171,38.655796,walk
-8.915343,-53.21891,evening
12.756238,-50.732166,"--"""
-5.9416046,48.354263,commanded
32.031193,-29.580353,eye
-26.607155,29.38902,By
23.088957,21.41855,lay
-16.443743,44.61197,Therefore
14.222631,-51.06557,replied
17.223383,33.043823,until
21.415257,-46.652626,boy
-1.7957073,61.38796,John
6.763217,31.372873,fall
-22.196308,-60.617466,family
-19.819403,58.745697,36
-24.355406,22.898111,alone
-13.270525,-36.816006,others
-46.30076,-0.8684312,m
-14.057761,-15.893316,kind
-32.38089,-35.666588,less
-40.660545,-3.9473917,true
-17.858612,28.252432,die
-37.889107,34.10347,Is
-42.703625,-14.950373,answer
-19.900894,58.709553,35
43.593903,-28.824232,behind
24.002754,-41.856873,towards
38.577103,42.86678,twenty
12.95892,14.700099,times
-49.4584,6.94679,)
22.268343,50.150978,toward
27.46804,28.396336,tree
-8.394468,-42.80571,hour
26.930115,33.091812,bread
26.944036,33.021946,drink
-2.575665,14.206079,Heaven
39.2517,42.262177,ten
55.36157,-12.604364,black
17.182564,42.207527,midst
4.8151503,15.04794,These
48.558346,-28.371996,along
42.030884,14.6663685,waters
39.275047,33.099964,silver
-20.400427,43.96117,pray
12.884681,48.56553,war
8.690218,18.484732,money
-13.160198,41.301056,One
-20.637419,-57.773834,Weston
-19.719116,30.119247,bear
-36.337593,35.057713,Do
22.409779,64.33408,second
4.4351892,21.788622,kept
-34.823223,-25.790998,friends
1.6344013,61.9489,Saul
12.600896,62.3097,priests
18.200588,-16.975191,large
-20.293125,-55.294468,Lady
-40.52233,-21.230156,feel
16.161327,-48.80576,MacIan
11.004661,44.3912,mighty
-34.567207,-23.933676,reason
-12.568933,18.289515,joy
10.451154,23.004818,living
-21.22614,45.816883,Come
-19.760645,58.69363,37
-6.336871,30.202816,wicked
-19.147764,-6.752319,course
31.473154,33.74194,fine
25.895554,28.695318,field
0.007410241,12.351341,From
-45.307953,-12.186889,understand
-34.064598,-12.84655,help
-5.8968177,46.574993,spoken
-34.750942,-30.3295,person
-35.671837,-42.11183,pleasure
-35.549213,-14.763632,often
-46.53012,22.601288,Or
-9.135523,-46.10399,returned
34.030975,-39.29823,garden
-40.443623,-17.948769,ready
-42.10122,34.192165,haue
-46.565018,-12.914619,ask
18.229042,47.01622,country
26.53742,37.12057,altar
8.100292,34.899414,dwell
27.230213,38.314655,burnt
-42.58786,-27.502142,able
41.13206,-7.487091,dark
16.818186,-51.16217,Alice
24.393715,19.49488,broken
50.042126,-21.272917,boat
-9.8614,56.961685,written
-0.8034454,-38.016518,short
8.9166,38.71574,nations
-24.9674,46.5742,Where
-20.768192,-57.78946,Knightley
10.443663,51.122643,kings
10.6653385,15.785754,On
-19.347599,58.239784,38
17.437054,34.85807,women
25.811262,18.720089,bed
-4.0189815,-9.174468,strange
-20.685213,-57.79844,Elton
-48.779095,-12.687856,anything
-44.83152,-18.778252,ought
39.62239,-35.122906,table
19.95042,35.037697,laid
-58.349003,2.3310626,}
-2.4355857,63.811234,Jacob
33.784546,10.939634,sweet
34.33939,-45.536617,ran
-11.675715,33.853306,strength
7.712463,-14.5340395,itself
-13.958548,26.869429,faith
25.152294,44.05477,congregation
-7.593671,30.710243,judgment
44.16156,10.2978945,trees
-47.523907,-5.7536907,?--
-29.368402,-13.538738,business
24.13013,46.113976,gate
12.428628,61.92958,chief
-25.36738,-43.15997,Her
23.129635,-31.284437,walked
-18.77882,-35.332535,received
-22.544857,29.865887,send
-37.6756,12.550659,meet
-33.392906,38.782246,Yet
21.426134,-50.784073,Brown
-12.062585,38.737854,Son
-9.736955,36.296745,kingdom
-19.217064,58.452126,40
-48.376804,-17.711594,glad
-9.860408,56.970127,book
-12.196039,25.36906,works
-6.2114015,29.058352,wise
-22.762001,-24.328333,either
13.287508,60.738102,Ham
56.22729,-14.712785,hair
-39.600388,-13.491686,certainly
-49.266262,7.165272,",)"
3.573175,66.02622,Aaron
21.89435,45.365902,wall
-39.931282,-33.04242,doubt
-46.53705,5.6522746,remember
-40.266235,-35.301975,;--
55.064728,-11.809944,red
34.704742,-42.810123,opened
39.164932,42.3494,six
-7.6552143,33.389256,honour
-26.112549,-12.399223,lost
25.793045,-40.51113,suddenly
20.930048,-46.199383,",--"
-45.43139,-10.909582,suppose
-12.990721,26.977596,knowledge
36.730785,-31.190674,arm
-45.81024,-4.7701774,.'
-33.62516,33.111744,Which
30.456997,35.046513,meat
-33.999454,-2.089412,Here
-19.370428,58.66849,39
-44.047394,-10.860319,talk
-45.931587,-4.6733274,!'
-35.89651,23.419704,Nor
26.656473,38.37346,offer
21.329838,66.36471,month
-21.09194,3.8397014,hard
-34.4549,-28.960054,deal
-14.091201,38.602104,praise
25.117895,44.078335,tabernacle
26.145374,29.744314,fruit
-23.129221,-14.03595,point
-8.423413,37.63825,seed
35.074295,30.831696,wood
-16.23732,30.233238,seek
-1.0143341,-55.979263,lady
-5.801029,-48.44172,immediately
19.399971,10.983643,sound
39.669018,13.921142,wind
-20.096786,-13.954249,making
-11.563013,36.31292,mercy
-49.385303,7.0858917,.)
1.913245,-41.732742,silence
22.799726,45.472054,top
-19.238646,58.37569,41
8.298261,52.632553,Solomon
-15.201177,-12.983475,letter
-11.591985,30.120405,enemies
-0.978778,-10.123949,beyond
19.673822,51.460106,wilderness
-20.963932,45.798542,Go
19.42505,11.512244,cry
-42.53502,-7.4058332,bad
6.028361,57.447357,daughters
21.720097,51.05609,river
-19.009417,26.966541,become
3.9612837,36.599163,delivered
-12.774034,2.8333287,past
27.435146,31.715284,wine
-52.311684,-14.782635,read
27.777433,35.17155,places
13.541073,46.421036,gathered
-44.09083,-3.19497,ve
20.039896,52.128025,mount
10.717005,-48.28169,continued
-7.047491,56.5279,lord
-22.109222,-57.160294,Woodhouse
38.350613,13.388115,deep
35.07527,31.539883,stone
-16.535997,42.20406,Ye
-18.74243,30.618221,save
-22.62294,-55.78185,Colonel
21.878666,42.602318,rose
-0.97658366,-55.937603,gentleman
22.382347,64.39903,third
-38.894855,-18.551455,seeing
5.071771,33.99723,destroy
-26.466537,29.716743,Thy
-7.1527605,12.795943,thoughts
-10.56208,35.74617,righteousness
-12.229119,25.138268,ways
-35.642185,-14.867433,used
-11.84385,31.202326,sake
-13.42658,-47.566273,company
-5.47095,60.34056,husband
-26.505089,25.120277,free
5.626372,43.220844,carried
-11.790409,29.027039,anger
13.453676,51.552322,fight
6.717031,-55.588657,Mary
-21.917845,13.059819,sit
-26.43844,4.8395796,run
-28.805794,-12.256422,longer
-4.6640515,-40.994366,appeared
34.992157,-10.849373,low
-37.555264,-16.933758,seem
26.06826,-42.30374,forward
-13.778478,-48.63089,party
-21.258722,3.4002295,fast
-39.46245,-29.378672,hardly
-16.947851,-14.04389,sense
-12.678943,40.338352,hosts
37.72433,6.419444,wild
-22.551926,-57.191322,Jane
-15.287937,34.47186,shew
11.663907,15.978048,After
-6.687862,40.310143,covenant
55.16072,-11.099412,green
-37.65192,-32.955032,possible
0.95206815,9.167664,fair
5.7454195,16.354689,followed
-12.908645,40.456497,GOD
-35.036655,-10.564422,use
11.335378,53.165688,captain
31.414951,34.843594,oil
-7.296111,-45.520805,already
3.1346874,39.732952,gods
46.688408,15.461538,darkness
5.855172,59.665424,died
2.4030035,-11.804645,Whale
20.00528,57.212196,Babylon
-43.262108,-33.41499,ill
-7.1280103,30.999542,judge
2.2671854,52.46514,born
-32.75944,-15.181271,care
39.5168,-22.273981,close
-30.21598,-30.922218,idea
-7.469718,-17.172338,common
28.97039,-47.08326,fish
-57.202705,1.2746094,THE
-47.32602,13.697661,comes
-10.569867,24.921381,vain
-58.073715,2.6187088,CHAPTER
8.201859,-54.21759,Susan
12.999222,48.611904,battle
-34.576378,-38.72458,means
-8.962472,-53.349346,morrow
-46.219357,-8.784203,yourself
-25.186739,38.386177,thyself
0.87932795,-44.436214,spoke
-21.609354,-56.523247,Elliot
-29.562767,-42.89926,feelings
16.883907,39.525208,number
17.078932,11.201884,sing
-12.125966,19.848295,perfect
-43.90657,-8.928622,please
3.8839126,36.028538,deliver
-6.74567,18.383936,sleep
-4.669986,-31.527107,became
8.155459,29.352062,cometh
52.32708,-8.358558,blue
1.7536172,12.518247,Their
31.642078,-42.663765,window
46.565,-34.468845,standing
-1.0342084,-56.097572,girl
-7.9423833,29.831142,iniquity
-40.76384,-10.556161,wonder
-46.796356,-9.714003,need
-47.046455,-19.890738,wait
-24.202961,-14.6881485,case
14.557221,51.089508,Pharaoh
-17.794842,23.322466,master
10.277687,50.144287,princes
-16.640434,44.700405,Wherefore
3.6561532,-39.509285,silent
-8.940613,-53.168034,early
-15.883971,43.929436,Because
36.2033,23.704426,iron
44.071774,29.607582,length
-12.764521,33.594456,receive
49.42209,-19.690977,line
-4.1769567,44.33085,concerning
-39.028408,-2.285248,fellow
10.58961,-48.440086,added
-12.290449,10.91079,beginning
35.138508,23.41301,heads
-16.995773,-48.489796,visit
-17.660515,28.412582,surely
-19.11964,29.515324,serve
-43.7017,-37.06082,wanted
-22.363503,-54.97148,Edward
-33.071316,-28.773157,pretty
15.664611,-56.129814,instant
12.441746,46.935356,multitude
28.93586,13.93942,cold
-25.796106,-42.220425,spirits
-26.23782,-24.881357,change
27.098845,38.418316,offerings
-19.346258,57.785446,42
-28.01791,-33.66846,general
-26.691938,-10.784259,except
-44.175556,-32.484188,pleased
-31.059788,-47.967503,subject
12.707111,62.535065,Levites
-34.9516,35.078068,Be
38.60453,42.321404,twelve
-12.976615,27.102516,wisdom
-21.530828,27.433205,rise
-19.935114,57.914635,44
13.931867,49.51321,host
-46.0368,25.624786,wrong
17.200134,31.005682,filled
-18.651785,40.084625,lest
-38.92349,-16.326757,doing
-2.4352455,63.808323,Abraham
-43.436234,24.711926,Your
-15.012256,18.468496,secret
17.871181,53.507423,Philistines
56.768776,-19.067287,foot
36.617092,43.33188,lived
8.040867,33.336346,lie
-24.214201,1.7795316,play
24.31998,-32.062584,held
-32.671196,-33.681515,real
-14.555105,29.846008,doth
-14.624143,-48.874466,town
-42.27839,21.779764,Enter
1.9640613,47.280746,Jews
1.062209,65.94947,prophet
43.47803,-36.913433,Stubb
15.710747,27.64728,break
-43.82507,-26.340717,comfort
-29.446795,-50.204834,question
15.3174715,62.131477,tribe
2.5515842,60.561222,bare
-8.565622,-13.358889,sometimes
-35.41411,-39.622948,account
10.910387,-20.164263,beautiful
23.937498,29.968561,houses
38.615555,42.980137,thirty
3.9701204,60.037292,Joseph
-44.923595,-2.2464178,won
42.971016,15.312772,mountains
-7.5502386,20.496542,ears
43.835052,-36.556984,Queequeg
-20.816366,-56.820244,Dashwood
-21.025146,-11.140287,seems
-46.996086,-19.949955,stay
-22.320566,-54.258232,Louisa
-25.40075,37.94944,wilt
2.6027758,32.996517,yea
-6.3520966,30.224878,righteous
24.944445,44.172817,ark
35.107193,31.67067,stones
-21.324364,30.469404,kill
-24.11291,28.38642,follow
7.244579,38.761536,therein
2.81813,48.17676,disciples
-26.210514,-14.752233,taking
-30.544203,-11.735343,late
-20.586164,46.16551,Take
-4.396792,42.59929,prophets
-28.952497,-35.616104,state
-16.11701,-6.5355606,order
-1.9796865,59.443104,Paul
-46.770706,-28.14664,believed
-10.486096,38.013786,throne
46.57007,-34.486717,sitting
12.585934,-44.133354,smile
15.399236,54.29189,smote
-8.593399,-46.688015,entered
28.166983,19.760996,bow
-30.332699,-33.383293,nature
18.559805,51.686665,departed
19.311428,28.720926,beast
-31.021357,-9.574307,talking
-24.026672,-50.90509,speaking
22.938387,42.33199,lifted
15.017204,39.059067,inheritance
50.569706,-2.854716,sky
-22.405567,-57.177944,Fairfax
2.1469321,-42.226387,minutes
26.846441,38.399323,sacrifice
-21.097887,-57.27389,Churchill
-17.16572,38.575512,command
-33.271454,39.246834,Though
18.311207,55.189224,dwelt
32.500145,-39.28561,caught
1.6351627,-12.615277,whales
45.903004,-6.193059,bright
55.502697,-15.912895,hat
-12.988778,27.158964,understanding
-11.776168,29.033123,wrath
24.341482,44.754646,temple
34.659615,-26.92529,arms
17.907324,46.481724,plain
0.54646605,35.5939,stranger
-3.5258446,56.0177,angel
-10.712019,-46.665516,met
36.023243,37.62636,horses
-44.28179,-34.347507,perfectly
20.867712,45.161373,hill
-7.0524135,28.034395,tongue
-12.211939,38.62236,Spirit
-19.238646,-6.87934,story
-14.012605,26.893038,grace
-19.203882,57.536045,43
19.435434,47.7747,built
-46.672104,-28.137108,loved
13.19048,-12.577741,watch
-3.7709317,-15.315252,human
-18.355844,30.930578,trouble
17.428305,46.676132,thence
-44.937054,33.314026,Caesar
23.745974,-41.672997,turning
-15.458862,31.797901,trust
23.02307,21.59684,spread
-7.645267,-48.228092,afterwards
9.573166,24.815302,rich
-31.82334,33.064194,Man
-8.412148,20.67092,lips
-38.560436,-15.119716,thinking
-20.083399,-57.53554,Jennings
-31.758268,-37.526302,happiness
-15.464489,30.149826,desire
8.546975,70.69885,begat
-16.479773,41.65233,yourselves
-10.627247,34.932423,blessed
-32.938168,-18.626905,greater
16.86933,11.118577,song
-22.620142,-54.621162,Lucy
38.669434,43.02768,fifty
48.520496,-28.371655,across
-37.850323,-6.0292816,fact
